Unnamed: 0,car_name,brand,model,vehicle_age,km_driven,seller_type,fuel_type,transmission_type,mileage,engine,max_power,seats,selling_price,price_per_km,age_category,mileage_category,is_luxury,is_high_performance,is_fuel_efficient
17,Maruti Ciaz,Maruti,Ciaz,5,76000.0,Dealer,Diesel,Manual,28.09,1248.0,88.5,5,650000.0,8.552519045802029,Recent,Excellent,0,0,1
18,Maruti Swift,Maruti,Swift,5,20000.0,Individual,Diesel,Manual,25.2,1248.0,74.0,5,627000.0,31.34843257837108,Recent,Excellent,0,0,1
19,Mercedes-Benz C-Class,Mercedes-Benz,C-Class,7,65000.0,Dealer,Diesel,Automatic,19.27,2143.0,170.0,5,1425000.0,21.92273965015923,Recent,Average,1,1,0
20,Maruti Swift,Maruti,Swift,7,62200.0,Dealer,Diesel,Manual,28.4,1248.0,74.0,5,425000.0,6.832687577370138,Recent,Excellent,0,0,1
21,Toyota Innova,Toyota,Innova,8,110000.0,Individual,Diesel,Manual,12.99,2159.5,100.6,8,605000.0,5.499950000454541,Mature,Low,0,0,0
22,Maruti Baleno,Maruti,Baleno,6,20000.0,Individual,Petrol,Manual,21.4,1197.0,83.1,5,600000.0,29.99850007499625,Recent,Good,0,0,0
23,Maruti Swift Dzire,Maruti,Swift Dzire,5,40000.0,Individual,Petrol,Manual,20.85,1197.0,83.14,5,575000.0,14.37464063398415,Recent,Good,0,0,0
25,Volkswagen Vento,Volkswagen,Vento,8,47000.0,Dealer,Petrol,Manual,16.09,1598.0,103.2,5,425000.0,9.042360800834025,Mature,Average,0,0,0
26,Maruti Alto,Maruti,Alto,8,25000.0,Dealer,Petrol,Manual,20.92,998.0,67.1,5,230000.0,9.19963201471941,Mature,Good,0,0,0
27,Hyundai Creta,Hyundai,Creta,2,15000.0,Individual,Diesel,Manual,19.67,1582.0,126.2,5,1225000.0,81.66122258516098,New,Average,0,1,0
29,Honda City,Honda,City,6,50000.0,Individual,Petrol,Manual,17.4,1497.0,117.3,5,750000.0,14.99970000599988,Recent,Average,0,0,0
30,Mahindra Bolero,Mahindra,Bolero,10,25000.0,Individual,Diesel,Manual,13.6,2159.5,63.0,7,350000.0,13.999440022399105,Mature,Low,0,0,0
31,Maruti Swift Dzire,Maruti,Swift Dzire,6,90000.0,Individual,Diesel,Manual,26.59,1248.0,74.0,5,600000.0,6.666592593415629,Recent,Excellent,0,0,1
32,Maruti Swift Dzire,Maruti,Swift Dzire,8,45000.0,Dealer,Diesel,Manual,26.59,1248.0,74.0,5,390000.0,8.666474078353815,Mature,Excellent,0,0,1
33,Honda City,Honda,City,14,77253.0,Dealer,Petrol,Manual,17.7,1497.0,78.0,5,145000.0,1.876925466642504,Old,Average,0,0,0
34,Hyundai i20,Hyundai,i20,3,25000.0,Individual,Petrol,Manual,17.19,1197.0,81.86,5,700000.0,27.99888004479821,New,Average,0,0,0
35,Toyota Fortuner,Toyota,Fortuner,8,110000.0,Individual,Diesel,Manual,13.0,2159.5,168.5,7,1150000.0,10.454450414087145,Mature,Low,0,1,0
36,Renault KWID,Renault,KWID,4,30000.0,Individual,Petrol,Manual,23.01,999.0,67.0,5,340000.0,11.332955568147728,Recent,Good,0,0,1
37,Honda Amaze,Honda,Amaze,5,39993.0,Dealer,Petrol,Manual,18.6,1199.0,88.76,5,465000.0,11.62674401160174,Recent,Average,0,0,0
38,Hyundai Santro,Hyundai,Santro,12,80000.0,Individual,Petrol,Manual,17.92,1086.0,62.1,5,125000.0,1.5624804689941376,Mature,Average,0,0,0
39,Mahindra XUV500,Mahindra,XUV500,9,130000.0,Individual,Diesel,Manual,15.1,2159.5,140.0,7,600000.0,4.615349112699133,Mature,Average,0,1,0
40,Maruti Swift Dzire,Maruti,Swift Dzire,8,90000.0,Individual,Diesel,Manual,23.4,1248.0,74.0,5,380000.0,4.222175309163232,Mature,Good,0,0,1
44,Hyundai i20,Hyundai,i20,3,15000.0,Individual,Diesel,Manual,22.54,1396.0,88.73,5,850000.0,56.662889140723955,New,Good,0,0,0
45,Hyundai i20,Hyundai,i20,3,40000.0,Individual,Petrol,Manual,18.6,1197.0,81.83,5,598000.0,14.949626259343516,New,Average,0,0,0
46,Honda City,Honda,City,6,31180.0,Dealer,Petrol,Automatic,18.0,1497.0,117.3,5,700000.0,22.449568647573845,Recent,Average,0,0,0
50,Maruti Swift Dzire,Maruti,Swift Dzire,7,56000.0,Dealer,Diesel,Manual,23.4,1248.0,74.0,5,410000.0,7.32129783396725,Recent,Good,0,0,1
53,Maruti Baleno,Maruti,Baleno,5,52427.0,Dealer,Petrol,Automatic,21.4,1197.0,83.1,5,590000.0,11.253528648813612,Recent,Good,0,0,0
54,Mahindra Bolero,Mahindra,Bolero,1,40000.0,Individual,Diesel,Manual,21.0,1498.0,74.96,7,850000.0,21.24946876328092,New,Good,0,0,0
56,Mahindra KUV100,Mahindra,KUV100,3,17000.0,Individual,Petrol,Manual,18.15,1198.0,82.0,5,550000.0,32.351038174225046,New,Average,0,0,0
58,Maruti Baleno,Maruti,Baleno,5,22000.0,Dealer,Petrol,Manual,15.4,1590.0,94.0,5,625000.0,28.40779964547066,Recent,Average,0,0,0
59,Maruti Swift Dzire,Maruti,Swift Dzire,5,54000.0,Individual,Petrol,Manual,20.85,1197.0,83.14,5,600000.0,11.110905353604563,Recent,Good,0,0,0
60,Maruti Wagon R,Maruti,Wagon R,2,10000.0,Individual,Petrol,Manual,20.51,998.0,67.04,5,445000.0,44.495550444955505,New,Good,0,0,0
61,Maruti Ignis,Maruti,Ignis,2,20000.0,Individual,Petrol,Manual,20.89,1197.0,81.8,5,530000.0,26.498675066246687,New,Good,0,0,0
63,Maruti Wagon R,Maruti,Wagon R,3,53237.0,Trustmark Dealer,CNG,Manual,26.6,998.0,58.16,5,410000.0,7.701266012998234,New,Excellent,0,0,1
64,Datsun RediGO,Datsun,RediGO,3,27263.0,Individual,Petrol,Manual,22.5,999.0,68.0,5,350000.0,12.83744131455399,New,Good,0,0,0
66,Hyundai Verna,Hyundai,Verna,7,110000.0,Individual,Diesel,Manual,22.32,1582.0,126.3,5,520000.0,4.727229752456796,Recent,Good,0,1,0
67,Hyundai i20,Hyundai,i20,5,70000.0,Individual,Diesel,Manual,22.54,1396.0,88.73,5,750000.0,10.714132655247782,Recent,Good,0,0,0
68,Maruti Swift Dzire,Maruti,Swift Dzire,4,70000.0,Individual,Diesel,Manual,26.59,1248.0,74.0,5,560000.0,7.999885715918344,Recent,Excellent,0,0,1
71,Hyundai i20,Hyundai,i20,2,39000.0,Dealer,Petrol,Manual,18.6,1197.0,81.83,5,655000.0,16.794441168175176,New,Average,0,0,0
72,Hyundai Santro,Hyundai,Santro,14,56000.0,Dealer,Petrol,Manual,17.8,1086.0,63.0,5,125000.0,2.232102998160747,Old,Average,0,0,0
75,Hyundai i20,Hyundai,i20,3,34000.0,Individual,Petrol,Manual,18.6,1197.0,81.83,5,550000.0,16.175994823681656,New,Average,0,0,0
76,Mahindra Scorpio,Mahindra,Scorpio,4,50000.0,Individual,Diesel,Manual,15.4,1997.0,120.0,7,1150000.0,22.999540009199816,Recent,Average,0,1,0
77,Volkswagen Vento,Volkswagen,Vento,9,77400.0,Individual,Diesel,Manual,20.54,1598.0,103.6,5,500000.0,6.459864859627136,Mature,Good,0,0,0
78,Mahindra Marazzo,Mahindra,Marazzo,2,36000.0,Individual,Diesel,Manual,17.3,1497.0,121.0,7,990000.0,27.499236132329656,New,Average,0,1,0
79,Hyundai Verna,Hyundai,Verna,8,47876.0,Dealer,Diesel,Manual,25.0,1493.0,113.42,5,551000.0,11.508657601771205,Mature,Good,0,0,1
80,Mahindra XUV500,Mahindra,XUV500,3,21500.0,Individual,Diesel,Automatic,15.1,2159.5,152.87,7,1485000.0,69.06655504395144,New,Average,0,1,0
81,Hyundai Grand,Hyundai,Grand,6,75000.0,Dealer,Diesel,Manual,24.0,1120.0,70.0,5,350000.0,4.666604445274063,Recent,Good,0,0,1
82,Ford Aspire,Ford,Aspire,4,58000.0,Dealer,Petrol,Manual,18.16,1196.0,86.8,5,500000.0,8.620541025154738,Recent,Average,0,0,0
83,Maruti Swift Dzire,Maruti,Swift Dzire,3,30000.0,Individual,Petrol,Manual,21.21,1197.0,81.8,5,575000.0,19.166027799073365,New,Good,0,0,0
84,Hyundai Grand,Hyundai,Grand,3,50000.0,Individual,Diesel,Manual,24.0,1186.0,73.97,5,545000.0,10.899782004359913,New,Good,0,0,1
85,Ford Figo,Ford,Figo,4,19093.0,Trustmark Dealer,Petrol,Manual,18.16,1196.0,86.8,5,525000.0,27.495548339792606,Recent,Average,0,0,0
86,Honda Amaze,Honda,Amaze,7,50000.0,Individual,Petrol,Manual,18.0,1198.0,86.7,5,400000.0,7.999840003199936,Recent,Average,0,0,0
87,Maruti Wagon R,Maruti,Wagon R,15,37000.0,Dealer,Petrol,Manual,14.0,1061.0,64.0,5,155000.0,4.1890759709197045,Old,Low,0,0,0
89,Maruti Swift Dzire,Maruti,Swift Dzire,5,47000.0,Dealer,Diesel,Manual,26.59,1248.0,74.0,5,545000.0,11.595497968128338,Recent,Excellent,0,0,1
90,Honda City,Honda,City,8,70000.0,Individual,Petrol,Manual,16.8,1497.0,116.3,5,545000.0,7.785603062813388,Mature,Average,0,0,0
91,Renault KWID,Renault,KWID,5,25000.0,Individual,Petrol,Manual,25.17,799.0,53.3,5,240000.0,9.599616015359386,Recent,Excellent,0,0,1
92,Maruti Vitara,Maruti,Vitara,3,26000.0,Dealer,Diesel,Manual,24.3,1248.0,88.5,5,725000.0,27.883542940656127,New,Good,0,0,1
93,Ford Aspire,Ford,Aspire,4,30000.0,Individual,Petrol,Manual,18.16,1196.0,86.8,5,480000.0,15.999466684443853,Recent,Average,0,0,0
94,Hyundai i20,Hyundai,i20,8,15000.0,Individual,Petrol,Manual,18.5,1197.0,82.9,5,375000.0,24.998333444437037,Mature,Average,0,0,0
95,Maruti Swift,Maruti,Swift,10,130000.0,Individual,Diesel,Manual,17.8,1248.0,75.0,5,225000.0,1.730755917262175,Mature,Average,0,0,0
96,Tata Tiago,Tata,Tiago,4,32100.0,Individual,Petrol,Manual,23.84,1199.0,84.0,5,400000.0,12.460671007133735,Recent,Good,0,0,1
97,Hyundai i20,Hyundai,i20,5,22000.0,Dealer,Petrol,Manual,18.5,1197.0,82.9,5,550000.0,24.998863688014183,Recent,Average,0,0,0
98,Mahindra Scorpio,Mahindra,Scorpio,5,44000.0,Dealer,Diesel,Manual,15.4,2159.5,120.0,7,1050000.0,23.86309402059044,Recent,Average,0,1,0
99,Volkswagen Polo,Volkswagen,Polo,5,78000.0,Dealer,Petrol,Manual,18.78,1198.0,74.0,5,450000.0,5.769156805681979,Recent,Average,0,0,0
100,Mercedes-Benz C-Class,Mercedes-Benz,C-Class,9,74352.0,Dealer,Petrol,Automatic,11.74,1796.0,182.25,5,775000.0,10.42325124742781,Mature,Low,1,1,0
101,Maruti Wagon R,Maruti,Wagon R,7,37000.0,Individual,Petrol,Manual,20.51,998.0,67.04,5,350000.0,9.45920380530256,Recent,Good,0,0,0
102,Honda City,Honda,City,7,69000.0,Dealer,Diesel,Manual,25.1,1498.0,98.6,5,550000.0,7.970898972478659,Recent,Excellent,0,0,1
103,Kia Seltos,Kia,Seltos,2,12120.0,Individual,Petrol,Manual,16.8,1497.0,113.4,5,1080000.0,89.10155927728735,New,Average,0,0,0
104,Maruti Baleno,Maruti,Baleno,5,52000.0,Dealer,Petrol,Manual,21.01,1197.0,81.8,5,575000.0,11.057479663852618,Recent,Good,0,0,0
105,Toyota Innova,Toyota,Innova,5,120000.0,Individual,Diesel,Manual,12.99,2159.5,100.6,8,950000.0,7.916600694994209,Recent,Low,0,0,0
106,Maruti Alto,Maruti,Alto,8,55000.0,Individual,Petrol,Manual,22.74,796.0,47.3,5,230000.0,4.181742150142725,Mature,Good,0,0,1
107,Hyundai i20,Hyundai,i20,10,130000.0,Individual,Diesel,Manual,21.9,1396.0,90.0,5,270000.0,2.07690710071461,Mature,Good,0,0,0
109,Ford Figo,Ford,Figo,10,40000.0,Individual,Petrol,Manual,15.6,1196.0,70.0,5,130000.0,3.249918752031199,Mature,Average,0,0,0
110,Maruti Swift Dzire,Maruti,Swift Dzire,9,46000.0,Dealer,Petrol,Manual,19.1,1197.0,85.8,5,370000.0,8.043303406447686,Mature,Average,0,0,0
111,Maruti Baleno,Maruti,Baleno,4,25000.0,Dealer,Petrol,Manual,21.4,1197.0,83.1,5,570000.0,22.79908803647854,Recent,Good,0,0,0
113,Volkswagen Polo,Volkswagen,Polo,8,90000.0,Dealer,Diesel,Manual,22.07,1199.0,73.9,5,365000.0,4.055510494327841,Mature,Good,0,0,0
114,Hyundai i20,Hyundai,i20,9,49566.0,Dealer,Petrol,Manual,18.5,1197.0,82.85,5,280000.0,5.648919644118062,Mature,Average,0,0,0
115,Hyundai Verna,Hyundai,Verna,3,14000.0,Dealer,Diesel,Automatic,22.0,1582.0,126.2,5,1250000.0,89.2793371902007,New,Good,0,1,0
116,Hyundai i20,Hyundai,i20,5,11000.0,Dealer,Petrol,Manual,18.6,1197.0,81.83,5,590000.0,53.63148804654122,Recent,Average,0,0,0
117,Maruti Celerio,Maruti,Celerio,3,5000.0,Individual,Petrol,Automatic,23.1,998.0,67.04,5,475000.0,94.98100379924016,New,Good,0,0,1
118,Ford Ecosport,Ford,Ecosport,4,55000.0,Dealer,Diesel,Manual,23.0,1498.0,98.96,5,685000.0,12.454319012381593,Recent,Good,0,0,1
119,Hyundai Verna,Hyundai,Verna,9,65000.0,Dealer,Diesel,Automatic,19.08,1582.0,126.32,5,380000.0,5.846063906709127,Mature,Average,0,1,0
120,Renault KWID,Renault,KWID,3,22000.0,Individual,Petrol,Manual,23.01,999.0,67.0,5,330000.0,14.99931821280851,New,Good,0,0,1
121,Maruti Baleno,Maruti,Baleno,3,7671.0,Trustmark Dealer,Petrol,Manual,21.01,1197.0,81.8,5,650000.0,84.72367049009385,New,Good,0,0,0
122,Maruti Wagon R,Maruti,Wagon R,5,66000.0,Individual,Petrol,Manual,20.51,998.0,67.04,5,325000.0,4.924167815639157,Recent,Good,0,0,0
123,Maruti Swift Dzire,Maruti,Swift Dzire,3,45156.0,Dealer,Petrol,Automatic,21.21,1197.0,81.8,5,640000.0,14.17277498505215,New,Good,0,0,0
124,Hyundai Venue,Hyundai,Venue,2,25000.0,Individual,Petrol,Manual,18.27,998.0,118.35,5,949000.0,37.95848166073357,New,Average,0,1,0
126,Hyundai Verna,Hyundai,Verna,6,120000.0,Individual,Diesel,Manual,23.9,1582.0,126.2,5,660000.0,5.499954167048608,Recent,Good,0,1,1
127,Maruti Swift,Maruti,Swift,7,28000.0,Dealer,Petrol,Manual,16.1,1197.0,85.0,5,435000.0,15.535159458590764,Recent,Average,0,0,0
128,Hyundai i20,Hyundai,i20,8,55000.0,Dealer,Diesel,Manual,21.9,1396.0,88.76,5,385000.0,6.999872729586735,Mature,Good,0,0,0
130,Hyundai Verna,Hyundai,Verna,2,14000.0,Dealer,Diesel,Automatic,22.0,1582.0,126.2,5,1250000.0,89.2793371902007,New,Good,0,1,0
132,Maruti Wagon R,Maruti,Wagon R,12,98780.0,Dealer,Petrol,Manual,18.9,998.0,67.1,5,155000.0,1.5691276662516072,Mature,Average,0,0,0
133,Maruti Swift,Maruti,Swift,6,58000.0,Dealer,Diesel,Manual,25.2,1248.0,74.0,5,415000.0,7.155049050878433,Recent,Excellent,0,0,1
134,Maruti Alto,Maruti,Alto,10,30000.0,Individual,Petrol,Manual,20.92,998.0,67.1,5,251000.0,8.366387787073764,Mature,Good,0,0,0
135,Mahindra Scorpio,Mahindra,Scorpio,5,46400.0,Dealer,Diesel,Manual,15.4,2159.5,120.0,7,1150000.0,24.783948621796945,Recent,Average,0,1,0
136,Hyundai i10,Hyundai,i10,7,32111.0,Trustmark Dealer,Petrol,Manual,19.81,1086.0,68.05,5,310000.0,9.653712007972098,Recent,Average,0,0,0
137,Datsun GO,Datsun,GO,6,35000.0,Individual,Petrol,Manual,19.44,1198.0,67.0,7,350000.0,9.999714293877318,Recent,Average,0,0,0
138,Mahindra Scorpio,Mahindra,Scorpio,4,30000.0,Dealer,Diesel,Manual,15.4,1997.0,120.0,7,1125000.0,37.498750041665275,Recent,Average,0,1,0
139,BMW 5,BMW,5,5,63000.0,Dealer,Diesel,Automatic,18.59,2159.5,182.25,5,1485000.0,23.571054427707498,Recent,Average,1,1,0
141,Datsun GO,Datsun,GO,3,10000.0,Individual,Petrol,Manual,20.62,1198.0,67.0,7,480000.0,47.995200479952004,New,Good,0,0,0
142,Maruti Swift Dzire,Maruti,Swift Dzire,4,25000.0,Individual,Diesel,Automatic,28.4,1248.0,74.02,5,850000.0,33.998640054397825,Recent,Excellent,0,0,1
143,Hyundai Creta,Hyundai,Creta,4,102000.0,Dealer,Diesel,Automatic,17.01,1582.0,126.2,5,1100000.0,10.784207997960804,Recent,Average,0,1,0
144,Maruti Swift,Maruti,Swift,3,35000.0,Dealer,Petrol,Manual,22.0,1197.0,81.8,5,575000.0,16.428102054227022,New,Good,0,0,0
145,Maruti Swift Dzire,Maruti,Swift Dzire,9,49948.0,Dealer,Petrol,Manual,17.5,1298.0,85.8,5,340000.0,6.806943081943582,Mature,Average,0,0,0
147,Ford Ecosport,Ford,Ecosport,3,55000.0,Individual,Diesel,Manual,23.0,1498.0,98.96,5,925000.0,16.81787603861748,New,Good,0,0,1
148,Hyundai Grand,Hyundai,Grand,6,36000.0,Dealer,Petrol,Manual,18.9,1197.0,82.0,5,400000.0,11.110802477708953,Recent,Average,0,0,0
150,Honda City,Honda,City,5,49625.0,Dealer,Petrol,Manual,17.8,1497.0,117.3,5,725000.0,14.609277394913956,Recent,Average,0,0,0
151,Maruti Swift Dzire,Maruti,Swift Dzire,7,35000.0,Individual,Diesel,Manual,23.4,1248.0,74.0,5,600000.0,17.142367360932546,Recent,Good,0,0,1
152,Mahindra Scorpio,Mahindra,Scorpio,8,95000.0,Individual,Diesel,Manual,12.05,2159.5,120.0,8,550000.0,5.789412743023758,Mature,Low,0,1,0
153,Ford Aspire,Ford,Aspire,4,36000.0,Dealer,Diesel,Manual,25.83,1498.0,99.0,5,585000.0,16.249548623649343,Recent,Excellent,0,0,1
154,Maruti Wagon R,Maruti,Wagon R,2,50000.0,Individual,Petrol,Manual,21.79,998.0,67.05,5,411000.0,8.219835603287935,New,Good,0,0,0
155,Maruti Swift Dzire,Maruti,Swift Dzire,6,26500.0,Individual,Petrol,Manual,20.85,1197.0,83.14,5,450000.0,16.98049130221501,Recent,Good,0,0,0
156,Honda CR-V,Honda,CR-V,6,80000.0,Dealer,Petrol,Automatic,13.7,1997.0,153.86,5,1290000.0,16.1247984400195,Recent,Low,0,1,0
157,Volkswagen Polo,Volkswagen,Polo,6,46000.0,Dealer,Petrol,Manual,16.47,1198.0,74.0,5,455000.0,9.891089324145128,Recent,Average,0,0,0
158,Hyundai Grand,Hyundai,Grand,2,9000.0,Individual,Petrol,Manual,20.7,1197.0,81.86,5,710000.0,78.88012443061882,New,Good,0,0,0
161,Honda City,Honda,City,5,53000.0,Dealer,Petrol,Manual,16.8,1497.0,116.3,5,770000.0,14.528027773060886,Recent,Average,0,0,0
164,Ford Endeavour,Ford,Endeavour,3,11387.0,Individual,Diesel,Automatic,10.91,2159.5,182.25,7,1485000.0,130.4004214963119,New,Low,0,1,0
165,Honda Amaze,Honda,Amaze,3,50000.0,Individual,Diesel,Manual,25.8,1498.0,98.6,5,720000.0,14.399712005759884,New,Excellent,0,0,1
166,Mahindra KUV,Mahindra,KUV,5,52000.0,Dealer,Diesel,Manual,25.32,1198.0,77.0,5,375000.0,7.211399780773447,Recent,Excellent,0,0,1
168,Datsun GO,Datsun,GO,6,35000.0,Individual,Petrol,Manual,19.44,1198.0,67.0,7,400000.0,11.428244907288363,Recent,Average,0,0,0
169,Renault Duster,Renault,Duster,6,48000.0,Individual,Diesel,Manual,19.87,1461.0,83.8,5,600000.0,12.499739588758567,Recent,Average,0,0,0
170,Honda Jazz,Honda,Jazz,3,18000.0,Individual,Petrol,Manual,18.7,1199.0,88.7,5,600000.0,33.331481584356425,New,Average,0,0,0
171,Maruti Wagon R,Maruti,Wagon R,9,57413.0,Individual,LPG,Manual,14.4,998.0,61.7,5,270000.0,4.702685756087366,Mature,Low,0,0,0
172,Hyundai i20,Hyundai,i20,6,30000.0,Individual,Petrol,Manual,18.6,1197.0,81.83,5,500000.0,16.666111129629012,Recent,Average,0,0,0
173,Hyundai Verna,Hyundai,Verna,6,55000.0,Dealer,Diesel,Manual,23.9,1582.0,126.2,5,650000.0,11.817966946055526,Recent,Good,0,1,1
176,Maruti Swift,Maruti,Swift,3,10000.0,Individual,Petrol,Automatic,21.21,1197.0,81.8,5,660000.0,65.99340065993401,New,Good,0,0,0
178,BMW 3,BMW,3,5,68000.0,Dealer,Diesel,Automatic,22.69,1995.0,182.25,5,1485000.0,21.83791414832135,Recent,Good,1,1,0
180,Kia Seltos,Kia,Seltos,1,8000.0,Dealer,Petrol,Manual,16.8,1497.0,113.4,5,1275000.0,159.35508061492314,New,Average,0,0,0
182,Maruti Swift,Maruti,Swift,6,65000.0,Dealer,Diesel,Manual,28.4,1248.0,74.0,5,495000.0,7.615267457423732,Recent,Excellent,0,0,1
186,Hyundai Grand,Hyundai,Grand,5,25000.0,Individual,Petrol,Manual,18.9,1197.0,82.0,5,475000.0,18.999240030398784,Recent,Average,0,0,0
189,Maruti Ciaz,Maruti,Ciaz,6,70000.0,Individual,Petrol,Manual,20.73,1373.0,91.1,5,530000.0,7.571320409708433,Recent,Good,0,0,0
190,Tata Tiago,Tata,Tiago,5,9500.0,Individual,Petrol,Manual,23.84,1199.0,84.0,5,530000.0,55.783601726134094,Recent,Good,0,0,1
191,Hyundai Verna,Hyundai,Verna,6,9100.0,Individual,Petrol,Manual,17.01,1591.0,121.3,5,650000.0,71.42072299747281,Recent,Average,0,1,0
193,Honda City,Honda,City,11,86000.0,Dealer,Petrol,Manual,17.0,1497.0,118.0,5,335000.0,3.895303542982058,Mature,Average,0,1,0
195,Audi A4,Audi,A4,8,78000.0,Dealer,Diesel,Automatic,16.55,1968.0,147.51,5,1290000.0,16.53824950962167,Mature,Average,1,1,0
196,Ford Figo,Ford,Figo,10,60000.0,Individual,Diesel,Manual,20.0,1399.0,68.0,5,300000.0,4.9999166680555325,Mature,Average,0,0,0
197,Maruti Wagon R,Maruti,Wagon R,2,7883.0,Trustmark Dealer,Petrol,Automatic,21.5,1197.0,81.8,5,550000.0,69.76154236428209,New,Good,0,0,0
198,Maruti Swift Dzire,Maruti,Swift Dzire,8,50205.0,Trustmark Dealer,Diesel,Manual,23.4,1248.0,74.0,5,390000.0,7.767995857068876,Mature,Good,0,0,1
199,Mahindra Bolero,Mahindra,Bolero,13,130000.0,Individual,Diesel,Manual,13.6,2159.5,63.0,7,260000.0,1.9999846155029577,Old,Low,0,0,0
200,Tata Tigor,Tata,Tigor,4,58000.0,Dealer,Diesel,Manual,24.7,1047.0,69.0,5,395000.0,6.810227409872244,Recent,Good,0,0,1
201,Mahindra Scorpio,Mahindra,Scorpio,9,130000.0,Individual,Diesel,Manual,12.05,2159.5,120.0,8,550000.0,4.230736686640872,Mature,Low,0,1,0
202,Maruti Swift Dzire,Maruti,Swift Dzire,3,15000.0,Individual,Petrol,Manual,22.0,1197.0,81.8,5,650000.0,43.3304446370242,New,Good,0,0,0
203,Maruti Swift,Maruti,Swift,5,71245.0,Dealer,Diesel,Manual,28.4,1248.0,74.0,5,375000.0,5.263453386856806,Recent,Excellent,0,0,1
207,Kia Seltos,Kia,Seltos,2,7000.0,Individual,Petrol,Manual,16.1,1353.0,138.0,5,1300000.0,185.68775889158692,New,Average,0,1,0
208,Maruti Alto,Maruti,Alto,3,20000.0,Individual,Petrol,Manual,23.95,998.0,67.05,5,360000.0,17.99910004499775,New,Good,0,0,1
209,Maruti Celerio,Maruti,Celerio,1,8700.0,Individual,Petrol,Manual,21.63,998.0,67.04,5,505000.0,58.03930582691645,New,Good,0,0,0
210,Maruti Alto,Maruti,Alto,2,25000.0,Individual,Petrol,Manual,24.7,796.0,47.3,5,310000.0,12.399504019839206,New,Good,0,0,1
211,Hyundai i20,Hyundai,i20,6,42000.0,Dealer,Petrol,Manual,18.6,1197.0,81.86,5,545000.0,12.97588152663032,Recent,Average,0,0,0
214,Mahindra Bolero,Mahindra,Bolero,15,120000.0,Individual,Diesel,Manual,13.6,2159.5,63.0,7,150000.0,1.2499895834201382,Old,Low,0,0,0
215,Maruti Baleno,Maruti,Baleno,3,50000.0,Individual,Petrol,Manual,21.4,1197.0,83.1,5,580000.0,11.599768004639907,New,Good,0,0,0
216,Maruti Wagon R,Maruti,Wagon R,10,58000.0,Individual,Petrol,Manual,18.9,998.0,67.1,5,250000.0,4.310270512577369,Mature,Average,0,0,0
217,Hyundai Verna,Hyundai,Verna,4,36000.0,Individual,Petrol,Manual,17.43,1396.0,105.5,5,650000.0,18.05505402627705,Recent,Average,0,0,0
220,Maruti Ertiga,Maruti,Ertiga,3,30000.0,Individual,Diesel,Manual,25.47,1248.0,88.5,7,410000.0,13.66621112629579,New,Excellent,0,0,1
221,Ford Ecosport,Ford,Ecosport,6,130000.0,Dealer,Diesel,Manual,22.77,1498.0,98.59,5,531000.0,4.084583964738733,Recent,Good,0,0,1
